source,panel_id,image,session,cluster_id,cluster_size,labeled_cluster_mates,cluster_mate_example,nearest_neighbor,nn_similarity,nn_is_labeled,verdict
6ban,P6,A3_B3_P6_2022-06-17_IR1_00034,P6|A3_B3_2022-06-17_IR1_,P6-C66412,1,0,,A3_B3_P6_2022-06-17_IR1_00020,0.8911,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B3_P6_2022-06-17_IR1_00035,P6|A3_B3_2022-06-17_IR1_,P6-C66413,1,0,,A3_B3_P6_2022-06-17_IR1_00036,0.936,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B3_P6_2022-06-17_IR1_00036,P6|A3_B3_2022-06-17_IR1_,P6-C66414,1,0,,A3_B3_P6_2022-06-17_IR1_00035,0.936,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B3_P6_2022-06-17_IR1_00037,P6|A3_B3_2022-06-17_IR1_,P6-C66415,1,0,,A3_B3_P6_2022-06-17_IR1_00036,0.9331,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B3_P6_2022-06-17_IR1_00038,P6|A3_B3_2022-06-17_IR1_,P6-C66416,1,0,,A1_B1_P6_2022-06-17_IR1_00017,0.8864,1,판단 보류 — 최근접 이웃이 라벨됨(유사도 중간)
6ban,P6,A3_B4_P6_2022-06-17_IR1_00001,P6|A3_B4_2022-06-17_IR1_,P6-C67501,1,0,,A3_B2_P6_2022-06-17_IR1_00004,0.9031,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B4_P6_2022-06-17_IR1_00002,P6|A3_B4_2022-06-17_IR1_,P6-C67502,1,0,,A2_B1_P6_2022-06-03_IR1_00053,0.9141,1,판단 보류 — 최근접 이웃이 라벨됨(유사도 중간)
6ban,P6,A3_B4_P6_2022-06-17_IR1_00003,P6|A3_B4_2022-06-17_IR1_,P6-C67503,1,0,,A3_B4_P6_2022-06-17_IR1_00008,0.9333,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B4_P6_2022-06-17_IR1_00004,P6|A3_B4_2022-06-17_IR1_,P6-C67504,1,0,,A3_B4_P6_2022-06-17_IR1_00006,0.9186,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B4_P6_2022-06-17_IR1_00005,P6|A3_B4_2022-06-17_IR1_,P6-C67505,1,0,,A3_B4_P6_2022-06-17_IR1_00006,0.9194,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B4_P6_2022-06-17_IR1_00006,P6|A3_B4_2022-06-17_IR1_,P6-C67506,1,0,,A3_B4_P6_2022-06-17_IR1_00005,0.9194,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B4_P6_2022-06-17_IR1_00007,P6|A3_B4_2022-06-17_IR1_,P6-C67507,2,0,,A3_B4_P6_2022-06-17_IR1_00008,0.9371,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B4_P6_2022-06-17_IR1_00008,P6|A3_B4_2022-06-17_IR1_,P6-C67507,2,0,,A3_B4_P6_2022-06-17_IR1_00009,0.947,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B4_P6_2022-06-17_IR1_00009,P6|A3_B4_2022-06-17_IR1_,P6-C67509,1,0,,A3_B4_P6_2022-06-17_IR1_00008,0.947,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B1_P9_2022-05-12_IR1_00001,P9|A1_B1_2022-05-12_IR1_,P9-C75278,4,0,,A1_B1_P9_2022-05-12_IR1_00021,0.9521,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B1_P9_2022-05-12_IR1_00005,P9|A1_B1_2022-05-12_IR1_,P9-C75281,1,0,,A3_B2_P9_2022-06-17_IR1_00003,0.9035,1,판단 보류 — 최근접 이웃이 라벨됨(유사도 중간)
9ban,P9,A1_B1_P9_2022-05-12_IR1_00006,P9|A1_B1_2022-05-12_IR1_,P9-C75282,1,0,,A1_B1_P9_2022-06-17_IR1_00022,0.8616,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B1_P9_2022-05-12_IR1_00007,P9|A1_B1_2022-05-12_IR1_,P9-C75283,2,0,,A1_B1_P9_2022-05-12_IR1_00010,0.9676,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B1_P9_2022-05-12_IR1_00008,P9|A1_B1_2022-05-12_IR1_,P9-C75284,1,0,,A1_B1_P9_2022-05-12_IR1_00025,0.9374,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B1_P9_2022-05-12_IR1_00009,P9|A1_B1_2022-05-12_IR1_,P9-C75285,1,0,,A1_B1_P9_2022-06-17_IR1_00032,0.9504,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B1_P9_2022-05-12_IR1_00010,P9|A1_B1_2022-05-12_IR1_,P9-C75283,2,0,,A1_B1_P9_2022-05-12_IR1_00007,0.9676,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B1_P9_2022-05-12_IR1_00011,P9|A1_B1_2022-05-12_IR1_,P9-C75287,1,0,,A1_B1_P9_2022-05-12_IR1_00007,0.9432,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B1_P9_2022-05-12_IR1_00012,P9|A1_B1_2022-05-12_IR1_,P9-C75288,1,0,,A1_B1_P9_2022-05-12_IR1_00007,0.9443,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B1_P9_2022-05-12_IR1_00013,P9|A1_B1_2022-05-12_IR1_,P9-C75289,1,0,,A1_B1_P9_2022-05-12_IR1_00014,0.9214,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B1_P9_2022-05-12_IR1_00014,P9|A1_B1_2022-05-12_IR1_,P9-C75290,1,0,,A1_B1_P9_2022-05-12_IR1_00015,0.9315,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B1_P9_2022-05-12_IR1_00015,P9|A1_B1_2022-05-12_IR1_,P9-C75291,1,0,,A1_B1_P9_2022-05-12_IR1_00014,0.9315,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B1_P9_2022-05-12_IR1_00016,P9|A1_B1_2022-05-12_IR1_,P9-C75292,1,0,,A1_B1_P9_2022-06-17_IR1_00028,0.9124,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B1_P9_2022-05-12_IR1_00017,P9|A1_B1_2022-05-12_IR1_,P9-C75293,1,0,,A1_B1_P9_2022-05-12_IR1_00018,0.8991,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B1_P9_2022-05-12_IR1_00018,P9|A1_B1_2022-05-12_IR1_,P9-C75294,1,0,,A1_B1_P9_2022-06-17_IR1_00031,0.9239,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B1_P9_2022-05-12_IR1_00019,P9|A1_B1_2022-05-12_IR1_,P9-C75278,4,0,,A1_B1_P9_2022-06-17_IR1_00030,0.9432,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B1_P9_2022-05-12_IR1_00020,P9|A1_B1_2022-05-12_IR1_,P9-C75296,1,0,,A1_B1_P9_2022-05-12_IR1_00001,0.9409,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B1_P9_2022-05-12_IR1_00021,P9|A1_B1_2022-05-12_IR1_,P9-C75278,4,0,,A1_B1_P9_2022-05-12_IR1_00001,0.9521,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B1_P9_2022-05-12_IR1_00022,P9|A1_B1_2022-05-12_IR1_,P9-C75278,4,0,,A1_B1_P9_2022-05-12_IR1_00001,0.9453,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B1_P9_2022-05-12_IR1_00023,P9|A1_B1_2022-05-12_IR1_,P9-C75299,1,0,,A1_B1_P9_2022-05-12_IR1_00022,0.93,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B1_P9_2022-05-12_IR1_00024,P9|A1_B1_2022-05-12_IR1_,P9-C75300,1,0,,A1_B1_P9_2022-05-12_IR1_00020,0.9216,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B1_P9_2022-05-12_IR1_00025,P9|A1_B1_2022-05-12_IR1_,P9-C75301,1,0,,A1_B1_P9_2022-05-12_IR1_00008,0.9374,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B1_P9_2022-06-17_IR1_00021,P9|A1_B1_2022-06-17_IR1_,P9-C75350,1,0,,A1_B1_P9_2022-06-17_IR1_00025,0.9246,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B1_P9_2022-06-17_IR1_00022,P9|A1_B1_2022-06-17_IR1_,P9-C75351,2,0,,A1_B1_P9_2022-06-17_IR1_00024,0.9652,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B1_P9_2022-06-17_IR1_00023,P9|A1_B1_2022-06-17_IR1_,P9-C75352,1,0,,A1_B1_P9_2022-06-17_IR1_00034,0.9409,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B1_P9_2022-06-17_IR1_00024,P9|A1_B1_2022-06-17_IR1_,P9-C75351,2,0,,A1_B1_P9_2022-06-17_IR1_00022,0.9652,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B1_P9_2022-06-17_IR1_00025,P9|A1_B1_2022-06-17_IR1_,P9-C75354,1,0,,A1_B1_P9_2022-06-17_IR1_00033,0.9459,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B1_P9_2022-06-17_IR1_00026,P9|A1_B1_2022-06-17_IR1_,P9-C75355,2,0,,A1_B1_P9_2022-06-17_IR1_00034,0.9322,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B1_P9_2022-06-17_IR1_00027,P9|A1_B1_2022-06-17_IR1_,P9-C75356,1,0,,A1_B1_P9_2022-06-17_IR1_00025,0.9413,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B1_P9_2022-06-17_IR1_00028,P9|A1_B1_2022-06-17_IR1_,P9-C75357,1,0,,A1_B1_P9_2022-06-17_IR1_00032,0.92,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B1_P9_2022-06-17_IR1_00029,P9|A1_B1_2022-06-17_IR1_,P9-C75358,1,0,,A1_B1_P9_2022-05-12_IR1_00014,0.9261,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B1_P9_2022-06-17_IR1_00030,P9|A1_B1_2022-06-17_IR1_,P9-C75359,1,0,,A1_B1_P9_2022-05-12_IR1_00001,0.9516,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B1_P9_2022-06-17_IR1_00031,P9|A1_B1_2022-06-17_IR1_,P9-C75360,1,0,,A1_B1_P9_2022-05-12_IR1_00018,0.9239,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B1_P9_2022-06-17_IR1_00032,P9|A1_B1_2022-06-17_IR1_,P9-C75361,1,0,,A1_B1_P9_2022-05-12_IR1_00009,0.9504,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B1_P9_2022-06-17_IR1_00033,P9|A1_B1_2022-06-17_IR1_,P9-C75362,1,0,,A1_B1_P9_2022-06-17_IR1_00025,0.9459,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B1_P9_2022-06-17_IR1_00034,P9|A1_B1_2022-06-17_IR1_,P9-C75355,2,0,,A1_B1_P9_2022-06-17_IR1_00023,0.9409,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B2_P9_2022-05-12_IR1_00013,P9|A1_B2_2022-05-12_IR1_,P9-C77266,1,0,,A1_B3_P9_2022-05-24_IR1_00001,0.9073,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B2_P9_2022-05-12_IR1_00014,P9|A1_B2_2022-05-12_IR1_,P9-C77267,1,0,,A1_B2_P9_2022-05-12_IR1_00015,0.9389,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B2_P9_2022-05-12_IR1_00015,P9|A1_B2_2022-05-12_IR1_,P9-C77268,1,0,,A1_B2_P9_2022-05-12_IR1_00014,0.9389,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B2_P9_2022-05-12_IR1_00016,P9|A1_B2_2022-05-12_IR1_,P9-C77269,1,0,,A3_B2_P9_2022-06-17_IR1_00027,0.9319,1,미작업 의심 — 최근접 이웃이 라벨됨(유사도 높음)
9ban,P9,A1_B2_P9_2022-05-12_IR1_00017,P9|A1_B2_2022-05-12_IR1_,P9-C77270,1,0,,A1_B2_P9_2022-05-12_IR1_00037,0.9149,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B2_P9_2022-05-12_IR1_00018,P9|A1_B2_2022-05-12_IR1_,P9-C77271,1,0,,A3_B2_P9_2022-06-17_IR1_00008,0.9256,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B2_P9_2022-05-12_IR1_00019,P9|A1_B2_2022-05-12_IR1_,P9-C77272,1,0,,A1_B2_P9_2022-05-12_IR1_00037,0.9399,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B2_P9_2022-05-12_IR1_00020,P9|A1_B2_2022-05-12_IR1_,P9-C77273,1,0,,A1_B2_P9_2022-05-12_IR1_00022,0.9147,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B2_P9_2022-05-12_IR1_00021,P9|A1_B2_2022-05-12_IR1_,P9-C77274,1,0,,A1_B2_P9_2022-05-12_IR1_00022,0.9391,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B2_P9_2022-05-12_IR1_00022,P9|A1_B2_2022-05-12_IR1_,P9-C77275,1,0,,A1_B2_P9_2022-05-12_IR1_00021,0.9391,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B2_P9_2022-05-12_IR1_00023,P9|A1_B2_2022-05-12_IR1_,P9-C77276,1,0,,A1_B2_P9_2022-05-12_IR1_00022,0.9262,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B2_P9_2022-05-12_IR1_00024,P9|A1_B2_2022-05-12_IR1_,P9-C77277,2,0,,A1_B2_P9_2022-05-12_IR1_00025,0.9338,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B2_P9_2022-05-12_IR1_00025,P9|A1_B2_2022-05-12_IR1_,P9-C77278,1,0,,A1_B2_P9_2022-05-12_IR1_00024,0.9338,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B2_P9_2022-05-12_IR1_00026,P9|A1_B2_2022-05-12_IR1_,P9-C77279,1,0,,A1_B2_P9_2022-05-12_IR1_00025,0.9217,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B2_P9_2022-05-12_IR1_00027,P9|A1_B2_2022-05-12_IR1_,P9-C77280,1,0,,A1_B2_P9_2022-05-12_IR1_00028,0.9265,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B2_P9_2022-05-12_IR1_00028,P9|A1_B2_2022-05-12_IR1_,P9-C77281,1,0,,A1_B2_P9_2022-05-12_IR1_00027,0.9265,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B2_P9_2022-05-12_IR1_00029,P9|A1_B2_2022-05-12_IR1_,P9-C77282,1,0,,A1_B1_P9_2022-05-12_IR1_00001,0.9253,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B2_P9_2022-05-12_IR1_00030,P9|A1_B2_2022-05-12_IR1_,P9-C77277,2,0,,A1_B2_P9_2022-05-12_IR1_00024,0.9316,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B2_P9_2022-05-12_IR1_00031,P9|A1_B2_2022-05-12_IR1_,P9-C77284,1,0,,A1_B2_P9_2022-05-12_IR1_00024,0.9248,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B2_P9_2022-05-12_IR1_00032,P9|A1_B2_2022-05-12_IR1_,P9-C77285,1,0,,A1_B2_P9_2022-05-12_IR1_00033,0.9323,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B2_P9_2022-05-12_IR1_00033,P9|A1_B2_2022-05-12_IR1_,P9-C77286,1,0,,A1_B2_P9_2022-05-12_IR1_00034,0.9498,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B2_P9_2022-05-12_IR1_00034,P9|A1_B2_2022-05-12_IR1_,P9-C77287,1,0,,A1_B2_P9_2022-05-12_IR1_00033,0.9498,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B2_P9_2022-05-12_IR1_00035,P9|A1_B2_2022-05-12_IR1_,P9-C77288,1,0,,A1_B2_P9_2022-05-12_IR1_00033,0.9392,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B2_P9_2022-05-12_IR1_00036,P9|A1_B2_2022-05-12_IR1_,P9-C77289,1,0,,A1_B2_P9_2022-05-12_IR1_00038,0.9433,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B2_P9_2022-05-12_IR1_00037,P9|A1_B2_2022-05-12_IR1_,P9-C77290,1,0,,A1_B2_P9_2022-05-12_IR1_00036,0.9425,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B2_P9_2022-05-12_IR1_00038,P9|A1_B2_2022-05-12_IR1_,P9-C77291,1,0,,A1_B2_P9_2022-05-12_IR1_00036,0.9433,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B2_P9_2022-05-12_IR1_00039,P9|A1_B2_2022-05-12_IR1_,P9-C77292,1,0,,A1_B2_P9_2022-05-12_IR1_00037,0.9298,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B3_P9_2022-05-24_IR1_00001,P9|A1_B3_2022-05-24_IR1_,P9-C81292,1,0,,A1_B3_P9_2022-05-24_IR1_00004,0.9427,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B3_P9_2022-05-24_IR1_00004,P9|A1_B3_2022-05-24_IR1_,P9-C81293,1,0,,A1_B3_P9_2022-05-24_IR1_00001,0.9427,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B3_P9_2022-05-24_IR1_00026,P9|A1_B3_2022-05-24_IR1_,P9-C81315,1,0,,A1_B3_P9_2022-05-24_IR1_00023,0.9366,1,미작업 의심 — 최근접 이웃이 라벨됨(유사도 높음)
9ban,P9,A1_B3_P9_2022-05-24_IR1_00027,P9|A1_B3_2022-05-24_IR1_,P9-C81316,1,0,,A1_B3_P9_2022-05-24_IR1_00025,0.9084,1,판단 보류 — 최근접 이웃이 라벨됨(유사도 중간)
9ban,P9,A1_B3_P9_2022-05-24_IR1_00031,P9|A1_B3_2022-05-24_IR1_,P9-C81320,1,0,,A1_B3_P9_2022-05-24_IR1_00030,0.919,1,판단 보류 — 최근접 이웃이 라벨됨(유사도 중간)
9ban,P9,A1_B3_P9_2022-05-24_IR1_00053,P9|A1_B3_2022-05-24_IR1_,P9-C81341,1,0,,A1_B3_P9_2022-05-24_IR1_00054,0.9316,1,미작업 의심 — 최근접 이웃이 라벨됨(유사도 높음)
9ban,P9,A1_B3_P9_2022-05-24_IR1_00060,P9|A1_B3_2022-05-24_IR1_,P9-C81348,1,0,,A1_B3_P9_2022-05-24_IR1_00059,0.9262,1,판단 보류 — 최근접 이웃이 라벨됨(유사도 중간)
9ban,P9,A1_B3_P9_2022-05-24_IR1_00062,P9|A1_B3_2022-05-24_IR1_,P9-C81350,1,0,,A1_B3_P9_2022-05-24_IR1_00061,0.917,1,판단 보류 — 최근접 이웃이 라벨됨(유사도 중간)
9ban,P9,A1_B3_P9_2022-05-24_IR1_00073,P9|A1_B3_2022-05-24_IR1_,P9-C81352,1,0,,A1_B3_P9_2022-05-24_IR1_00074,0.9175,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B3_P9_2022-05-24_IR1_00074,P9|A1_B3_2022-05-24_IR1_,P9-C81353,1,0,,A1_B3_P9_2022-05-24_IR1_00073,0.9175,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A1_B3_P9_2022-05-24_IR1_00075,P9|A1_B3_2022-05-24_IR1_,P9-C81354,1,0,,A3_B4_P9_2022-06-17_IR1_00024,0.9088,1,판단 보류 — 최근접 이웃이 라벨됨(유사도 중간)
9ban,P9,A3_B2_P9_2022-06-17_IR1_00006,P9|A3_B2_2022-06-17_IR1_,P9-C89936,1,0,,A3_B2_P9_2022-06-17_IR1_00007,0.9366,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A3_B2_P9_2022-06-17_IR1_00007,P9|A3_B2_2022-06-17_IR1_,P9-C89937,1,0,,A3_B2_P9_2022-06-17_IR1_00006,0.9366,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A3_B2_P9_2022-06-17_IR1_00008,P9|A3_B2_2022-06-17_IR1_,P9-C89938,1,0,,A3_B4_P9_2022-06-17_IR1_00009,0.929,1,판단 보류 — 최근접 이웃이 라벨됨(유사도 중간)
9ban,P9,A3_B2_P9_2022-06-17_IR1_00014,P9|A3_B2_2022-06-17_IR1_,P9-C89944,1,0,,A3_B2_P9_2022-06-17_IR1_00015,0.9411,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A3_B2_P9_2022-06-17_IR1_00015,P9|A3_B2_2022-06-17_IR1_,P9-C89945,1,0,,A3_B2_P9_2022-06-17_IR1_00014,0.9411,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A3_B2_P9_2022-06-17_IR1_00016,P9|A3_B2_2022-06-17_IR1_,P9-C89946,1,0,,A3_B2_P9_2022-06-17_IR1_00015,0.9192,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A3_B2_P9_2022-06-17_IR1_00046,P9|A3_B2_2022-06-17_IR1_,P9-C89976,1,0,,A1_B2_P9_2022-07-19_IR2_06250,0.8637,,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A3_B2_P9_2022-06-17_IR1_00078,P9|A3_B2_2022-06-17_IR1_,P9-C90008,1,0,,A3_B2_P9_2022-06-17_IR1_00073,0.904,1,판단 보류 — 최근접 이웃이 라벨됨(유사도 중간)
9ban,P9,A3_B2_P9_2022-06-17_IR1_00085,P9|A3_B2_2022-06-17_IR1_,P9-C90014,1,0,,A3_B4_P9_2022-06-17_IR1_00025,0.9154,0,정상 음성 가능 — 유사한 라벨 이미지 없음
9ban,P9,A3_B2_P9_2022-06-17_IR1_00086,P9|A3_B2_2022-06-17_IR1_,P9-C90015,1,0,,A3_B2_P9_2022-06-17_IR1_00087,0.9231,1,판단 보류 — 최근접 이웃이 라벨됨(유사도 중간)
9ban,P9,A3_B3_P9_2022-06-17_IR1_00010,P9|A3_B3_2022-06-17_IR1_,P9-C94866,1,0,,A3_B3_P9_2022-06-17_IR1_00009,0.9529,1,미작업 의심 — 최근접 이웃이 라벨됨(유사도 높음)
9ban,P9,A3_B4_P9_2022-06-17_IR1_00025,P9|A3_B4_2022-06-17_IR1_,P9-C95672,1,0,,A3_B2_P9_2022-06-17_IR1_00085,0.9154,0,정상 음성 가능 — 유사한 라벨 이미지 없음
